Id,Source,Target,Type
320,Bahar Öztan,Dinçer Çekmez,Undirected
321,Pembe Mutlu,Dinçer Çekmez,Undirected
322,Merih Fýrat,Dinçer Çekmez,Undirected
323,Yaþar Güner,Dinçer Çekmez,Undirected
324,Gazanfer Özcan,Dinçer Çekmez,Undirected
325,Bahar Öztan,Sümer Tilmaç,Undirected
326,Pembe Mutlu,Sümer Tilmaç,Undirected
327,Merih Fýrat,Sümer Tilmaç,Undirected
328,Yaþar Güner,Sümer Tilmaç,Undirected
329,Gazanfer Özcan,Sümer Tilmaç,Undirected
330,Pembe Mutlu,Bahar Öztan,Undirected
331,Merih Fýrat,Bahar Öztan,Undirected
332,Yaþar Güner,Bahar Öztan,Undirected
333,Gazanfer Özcan,Bahar Öztan,Undirected
334,Merih Fýrat,Pembe Mutlu,Undirected
335,Gazanfer Özcan,Pembe Mutlu,Undirected
336,Yaþar Güner,Merih Fýrat,Undirected
337,Gazanfer Özcan,Merih Fýrat,Undirected
338,Gazanfer Özcan,Yaþar Güner,Undirected
339,Nevra Serezli,Kemal Sunal,Undirected
340,Kadir Savun,Kemal Sunal,Undirected
341,Osman Alyanak,Kemal Sunal,Undirected
342,Ali Þen,Kemal Sunal,Undirected
343,Bülent Kayabaþ,Kemal Sunal,Undirected
344,Metin Serezli,Kemal Sunal,Undirected
345,Memduh Ün,Kemal Sunal,Undirected
346,Alpay Ýzer,Kemal Sunal,Undirected
347,Zeki Alpan,Kemal Sunal,Undirected
348,Nubar Terziyan,Kemal Sunal,Undirected
349,Þemsi Ýnkaya,Kemal Sunal,Undirected
350,Hüseyin Kutman,Kemal Sunal,Undirected
351,Nevzat Okçugil,Kemal Sunal,Undirected
352,Bilge Zobu,Kemal Sunal,Undirected
353,Nejat Gürçen,Kemal Sunal,Undirected
354,Mesut Sürmeli,Kemal Sunal,Undirected
355,Kadir Savun,Nevra Serezli,Undirected
356,Osman Alyanak,Nevra Serezli,Undirected
357,Ali Þen,Nevra Serezli,Undirected
358,Bülent Kayabaþ,Nevra Serezli,Undirected
359,Metin Serezli,Nevra Serezli,Undirected
360,Memduh Ün,Nevra Serezli,Undirected
361,Alpay Ýzer,Nevra Serezli,Undirected
362,Zeki Alpan,Nevra Serezli,Undirected
363,Nubar Terziyan,Nevra Serezli,Undirected
364,Þemsi Ýnkaya,Nevra Serezli,Undirected
365,Hüseyin Kutman,Nevra Serezli,Undirected
366,Nevzat Okçugil,Nevra Serezli,Undirected
367,Bilge Zobu,Nevra Serezli,Undirected
368,Reha Yurdakul,Nevra Serezli,Undirected
369,Nejat Gürçen,Nevra Serezli,Undirected
370,Mesut Sürmeli,Nevra Serezli,Undirected
371,Osman Alyanak,Kadir Savun,Undirected
372,Ali Þen,Kadir Savun,Undirected
373,Bülent Kayabaþ,Kadir Savun,Undirected
374,Metin Serezli,Kadir Savun,Undirected
375,Memduh Ün,Kadir Savun,Undirected
376,Alpay Ýzer,Kadir Savun,Undirected
377,Zeki Alpan,Kadir Savun,Undirected
378,Nubar Terziyan,Kadir Savun,Undirected
379,Þemsi Ýnkaya,Kadir Savun,Undirected
380,Hüseyin Kutman,Kadir Savun,Undirected
381,Nevzat Okçugil,Kadir Savun,Undirected
382,Bilge Zobu,Kadir Savun,Undirected
383,Reha Yurdakul,Kadir Savun,Undirected
384,Nejat Gürçen,Kadir Savun,Undirected
385,Mesut Sürmeli,Kadir Savun,Undirected
386,Ali Þen,Osman Alyanak,Undirected
387,Bülent Kayabaþ,Osman Alyanak,Undirected
388,Metin Serezli,Osman Alyanak,Undirected
389,Memduh Ün,Osman Alyanak,Undirected
390,Alpay Ýzer,Osman Alyanak,Undirected
391,Zeki Alpan,Osman Alyanak,Undirected
392,Nubar Terziyan,Osman Alyanak,Undirected
393,Þemsi Ýnkaya,Osman Alyanak,Undirected
394,Hüseyin Kutman,Osman Alyanak,Undirected
395,Nevzat Okçugil,Osman Alyanak,Undirected
396,Bilge Zobu,Osman Alyanak,Undirected
397,Reha Yurdakul,Osman Alyanak,Undirected
398,Nejat Gürçen,Osman Alyanak,Undirected
399,Mesut Sürmeli,Osman Alyanak,Undirected
400,Bülent Kayabaþ,Ali Þen,Undirected
401,Metin Serezli,Ali Þen,Undirected
402,Memduh Ün,Ali Þen,Undirected
